state,county,black_perc
Alabama,Autauga County,19.15912335
Alabama,Baldwin County,9.538606542
Alabama,Barbour County,47.71037034
Alabama,Bibb County,22.21582606
Alabama,Blount County,1.87956236
Alabama,Bullock County,69.96073298
Alabama,Butler County,44.2790513
Alabama,Calhoun County,21.17799689
Alabama,Chambers County,39.75031504
Alabama,Cherokee County,4.729494567
Alabama,Chilton County,10.52499829
Alabama,Choctaw County,42.21716021
Alabama,Clarke County,44.23100304
Alabama,Clay County,14.57026927
Alabama,Cleburne County,3.635637235
Alabama,Coffee County,17.95122142
Alabama,Colbert County,16.45877028
Alabama,Conecuh County,46.6540404
Alabama,Coosa County,30.57627751
Alabama,Covington County,13.18091714
Alabama,Crenshaw County,24.19250877
Alabama,Cullman County,1.515761234
Alabama,Dale County,20.20579038
Alabama,Dallas County,69.66764727
Alabama,DeKalb County,2.173485168
Alabama,Elmore County,21.33475721
Alabama,Escambia County,32.45918124
Alabama,Etowah County,15.68840545
Alabama,Fayette County,12.11289456
Alabama,Franklin County,5.013250883
Alabama,Geneva County,9.642603727
Alabama,Greene County,80.25710579
Alabama,Hale County,57.75152641
Alabama,Henry County,27.04837117
Alabama,Houston County,26.65469939
Alabama,Jackson County,3.628455331
Alabama,Jefferson County,43.05212102
Alabama,Lamar County,11.0326948
Alabama,Lauderdale County,10.36329863
Alabama,Lawrence County,11.17620414
Alabama,Lee County,23.80870485
Alabama,Limestone County,13.54745099
Alabama,Lowndes County,72.39433926
Alabama,Macon County,80.90028788
Alabama,Madison County,24.73682273
Alabama,Marengo County,50.95865788
Alabama,Marion County,4.339034739
Alabama,Marshall County,2.827131169
Alabama,Mobile County,35.50163098
Alabama,Monroe County,40.94495455
Alabama,Montgomery County,56.9749116
Alabama,Morgan County,12.68933216
Alabama,Perry County,67.291753
Alabama,Pickens County,40.00191718
Alabama,Pike County,37.0150699
Alabama,Randolph County,20.03877335
Alabama,Russell County,43.73449547
Alabama,St. Clair County,9.638927809
Alabama,Shelby County,12.48748281
Alabama,Sumter County,72.16667939
Alabama,Talladega County,32.56412159
Alabama,Tallapoosa County,27.33326804
Alabama,Tuscaloosa County,31.38359415
Alabama,Walker County,6.369651116
Alabama,Washington County,24.27993335
Alabama,Wilcox County,70.64834072
Alabama,Winston County,1.10147841
Alaska,Aleutians East Borough,10.53576773
Alaska,Aleutians West Census Area,7.558751315
Alaska,Anchorage Municipality,6.237801101
Alaska,Bethel Census Area,0.885991307
Alaska,Bristol Bay Borough,0.112107623
Alaska,Denali Borough,1.6154247
Alaska,Dillingham Census Area,0.640384231
Alaska,Fairbanks North Star Borough,5.71308127
Alaska,Haines Borough,0.710339384
Alaska,Hoonah-Angoon Census Area,0.750117206
Alaska,Juneau City and Borough,1.465380388
Alaska,Kenai Peninsula Borough,0.809521349
Alaska,Ketchikan Gateway Borough,0.940987672
Alaska,Kodiak Island Borough,1.461588307
Alaska,Kusilvak Census Area,0.246335756
Alaska,Lake and Peninsula Borough,1.151631478
Alaska,Matanuska-Susitna Borough,1.370987685
Alaska,Nome Census Area,0.680479382
Alaska,North Slope Borough,1.46588211
Alaska,Northwest Arctic Borough,1.212590299
Alaska,Petersburg Borough,2.266288952
Alaska,Prince of Wales-Hyder Census Area,0.425800347
Alaska,Sitka City and Borough,1.071871827
Alaska,Skagway Municipality,0.378429518
Alaska,Southeast Fairbanks Census Area,1.53531218
Alaska,Valdez-Cordova Census Area,0.961333048
Alaska,Wrangell City and Borough,0.461796809
Alaska,Yakutat City and Borough,2.936378467
Alaska,Yukon-Koyukuk Census Area,0.542201337
Arizona,Apache County,0.990569997
Arizona,Cochise County,4.710228037
Arizona,Coconino County,1.687311732
Arizona,Gila County,0.949980248
Arizona,Graham County,2.110656826
Arizona,Greenlee County,1.941441914
Arizona,La Paz County,1.275307662
Arizona,Maricopa County,5.885223588
Arizona,Mohave County,1.366142905
Arizona,Navajo County,1.307756957
Arizona,Pima County,4.129501745
Arizona,Pinal County,5.002164374
Arizona,Santa Cruz County,0.949183186
Arizona,Yavapai County,0.957908708
Arizona,Yuma County,2.737486232
Arkansas,Arkansas County,24.34763739
Arkansas,Ashley County,25.44869949
Arkansas,Baxter County,0.404355346
Arkansas,Benton County,2.019449518
Arkansas,Boone County,0.505077642
Arkansas,Bradley County,27.82585181
Arkansas,Calhoun County,21.93536049
Arkansas,Carroll County,0.887958418
Arkansas,Chicot County,54.02194613
Arkansas,Clark County,23.89431361
Arkansas,Clay County,0.721424317
Arkansas,Cleburne County,0.537951074
Arkansas,Cleveland County,11.4306341
Arkansas,Columbia County,35.99568715
Arkansas,Conway County,11.40396784
Arkansas,Craighead County,14.84178853
Arkansas,Crawford County,1.666045411
Arkansas,Crittenden County,52.02908319
Arkansas,Cross County,22.96343439
Arkansas,Dallas County,41.20199895
Arkansas,Desha County,47.79774342
Arkansas,Drew County,28.26179572
Arkansas,Faulkner County,11.55719363
Arkansas,Franklin County,0.954694385
Arkansas,Fulton County,0.630940675
Arkansas,Garland County,8.735606162
Arkansas,Grant County,3.060435311
Arkansas,Greene County,1.280658883
Arkansas,Hempstead County,29.88589024
Arkansas,Hot Spring County,11.5568719
Arkansas,Howard County,21.43609023
Arkansas,Independence County,2.283277556
Arkansas,Izard County,1.889178133
Arkansas,Jackson County,17.747145
Arkansas,Jefferson County,55.41815133
Arkansas,Johnson County,2.199609808
Arkansas,Lafayette County,36.74957118
Arkansas,Lawrence County,0.989331903
Arkansas,Lee County,53.65803109
Arkansas,Lincoln County,30.26049204
Arkansas,Little River County,20.0208467
Arkansas,Logan County,1.547388781
Arkansas,Lonoke County,6.159536604
Arkansas,Madison County,0.424938162
Arkansas,Marion County,0.531356194
Arkansas,Miller County,25.21636148
Arkansas,Mississippi County,35.16850336
Arkansas,Monroe County,40.08649818
Arkansas,Montgomery County,0.624303233
Arkansas,Nevada County,30.75484926
Arkansas,Newton County,0.315935802
Arkansas,Ouachita County,40.38919452
Arkansas,Perry County,2.139562273
Arkansas,Phillips County,61.30784605
Arkansas,Pike County,3.593865484
Arkansas,Poinsett County,8.356905158
Arkansas,Polk County,0.55401662
Arkansas,Pope County,3.386969554
Arkansas,Prairie County,12.10951634
Arkansas,Pulaski County,36.26102724
Arkansas,Randolph County,0.99032572
Arkansas,St. Francis County,52.97679492
Arkansas,Saline County,6.930870083
Arkansas,Scott County,0.694378389
Arkansas,Searcy County,0.343118567
Arkansas,Sebastian County,6.808577242
Arkansas,Sevier County,4.551764025
Arkansas,Sharp County,0.82781457
Arkansas,Stone County,0.417469493
Arkansas,Union County,32.70227182
Arkansas,Van Buren County,0.530677956
Arkansas,Washington County,3.542268169
Arkansas,White County,4.758656409
Arkansas,Woodruff County,26.27206646
Arkansas,Yell County,2.049463455
California,Alameda County,11.84282893
California,Alpine County,0.540540541
California,Amador County,2.175616875
California,Butte County,1.814906992
California,Calaveras County,0.994913893
California,Colusa County,1.247556093
California,Contra Costa County,9.595960044
California,Del Norte County,3.518749541
California,El Dorado County,1.007308134
California,Fresno County,5.855296294
California,Glenn County,1.234964486
California,Humboldt County,1.418288181
California,Imperial County,3.452447681
California,Inyo County,0.969331873
California,Kern County,6.274938334
California,Kings County,7.225515848
California,Lake County,2.130327755
California,Lassen County,8.511724358
California,Los Angeles County,9.100987464
California,Madera County,4.267151834
California,Marin County,2.882233817
California,Mariposa County,1.123723689
California,Mendocino County,1.048500268
California,Merced County,4.078523402
California,Modoc County,1.305075293
California,Mono County,0.855561147
California,Monterey County,3.487455577
California,Napa County,2.372662436
California,Nevada County,0.596700952
California,Orange County,2.114092605
California,Placer County,1.788535154
California,Plumas County,1.124449997
California,Riverside County,7.076669211
California,Sacramento County,10.86513003
California,San Benito County,1.391345761
California,San Bernardino County,9.494754322
California,San Diego County,5.57259675
California,San Francisco County,5.676930122
California,San Joaquin County,8.150049717
California,San Luis Obispo County,2.069644386
California,San Mateo County,2.921575931
California,Santa Barbara County,2.416760161
California,Santa Clara County,2.886430134
California,Santa Cruz County,1.432448403
California,Shasta County,1.104532314
California,Sierra County,0.37074486
California,Siskiyou County,1.471736235
California,Solano County,14.76752612
California,Sonoma County,1.958792861
California,Stanislaus County,3.310623565
California,Sutter County,2.483853913
California,Tehama County,0.961963733
California,Trinity County,0.581528809
California,Tulare County,2.221313739
California,Tuolumne County,2.014559943
California,Ventura County,2.267864029
California,Yolo County,2.982405078
California,Yuba County,4.028620523
Colorado,Adams County,3.696241073
Colorado,Alamosa County,1.99442289
Colorado,Arapahoe County,11.02573935
Colorado,Archuleta County,0.49384715
Colorado,Baca County,1.217150761
Colorado,Bent County,7.495711835
Colorado,Boulder County,1.155705572
Colorado,Broomfield County,1.464689157
Colorado,Chaffee County,1.827634259
Colorado,Cheyenne County,0.437397485
Colorado,Clear Creek County,1.010426744
Colorado,Conejos County,0.799507995
Colorado,Costilla County,2.120535714
Colorado,Crowley County,10.23013305
Colorado,Custer County,1.349831271
Colorado,Delta County,0.797224724
Colorado,Denver County,10.08226564
Colorado,Dolores County,0.202224469
Colorado,Douglas County,1.416930583
Colorado,Eagle County,1.18459099
Colorado,Elbert County,0.796442288
Colorado,El Paso County,7.031733017
Colorado,Fremont County,3.994260259
Colorado,Garfield County,1.179103193
Colorado,Gilpin County,1.183939602
Colorado,Grand County,0.64317482
Colorado,Gunnison County,0.52281073
Colorado,Hinsdale County,0.516795866
Colorado,Huerfano County,1.01663586
Colorado,Jackson County,0.073746313
