"combo","yellow_wins","real_wins","draws","yellow_pct","real_pct","avg_skill"
"Nov / Nov / Nov",1476,12222,16302,4.92,40.74,1
"Nov / Nov / Mid",1077,14035,14888,3.59,46.78,1.33333333333333
"Nov / Nov / Opt",1049,14414,14537,3.5,48.05,1.66666666666667
"Nov / Mid / Mid",781,15425,13794,2.6,51.42,1.66666666666667
"Nov / Mid / Opt",793,15447,13760,2.64,51.49,2
"Nov / Opt / Opt",920,14445,14635,3.07,48.15,2.33333333333333
"Mid / Mid / Mid",618,16326,13056,2.06,54.42,2
"Mid / Mid / Opt",661,16221,13118,2.2,54.07,2.33333333333333
"Mid / Opt / Opt",781,14959,14260,2.6,49.86,2.66666666666667
"Opt / Opt / Opt",878,13068,16054,2.93,43.56,3
