outcome,player,expected_total,expected_correct_picks,expected_correct_15_picks,rank,playoffs
1,Chester,99,20,2,1,TRUE
1,Mike,67,17,3,2,TRUE
1,Jenelle,63,19,2,3,TRUE
1,Mary,43,17,3,4,TRUE
1,Adonis,1,15,2,5,FALSE
1,Phil,-51,14,0,6,FALSE
1,Jake,-71,11,1,7,FALSE
1,Ryan,-75,11,1,8,FALSE
2,Chester,127,21,2,1,TRUE
2,Jenelle,89,20,2,2,TRUE
2,Mike,45,16,3,3,TRUE
2,Mary,19,16,3,4,TRUE
2,Adonis,-27,14,2,5,FALSE
2,Jake,-45,12,1,6,FALSE
2,Ryan,-57,12,1,7,FALSE
2,Phil,-79,13,0,8,FALSE
3,Mike,95,18,3,1,TRUE
3,Chester,87,19,2,2,TRUE
3,Mary,61,18,3,3,TRUE
3,Jenelle,51,18,2,4,TRUE
3,Adonis,-13,14,2,5,FALSE
3,Jake,-41,12,2,6,FALSE
3,Phil,-69,13,0,7,FALSE
3,Ryan,-103,10,1,8,FALSE
4,Chester,115,20,2,1,TRUE
4,Jenelle,77,19,2,2,TRUE
4,Mike,73,17,3,3,TRUE
4,Mary,37,17,3,4,TRUE
4,Jake,-15,13,2,5,FALSE
4,Adonis,-41,13,2,6,FALSE
4,Ryan,-85,11,1,7,FALSE
4,Phil,-97,12,0,8,FALSE
5,Chester,113,21,2,1,TRUE
5,Mike,79,18,3,2,TRUE
5,Jenelle,51,18,2,3,TRUE
5,Adonis,31,16,3,4,TRUE
5,Mary,31,16,3,5,FALSE
5,Phil,-31,15,0,6,FALSE
5,Jake,-55,12,1,7,FALSE
5,Ryan,-57,12,1,8,FALSE
6,Chester,141,22,2,1,TRUE
6,Jenelle,77,19,2,2,TRUE
6,Mike,57,17,3,3,TRUE
6,Mary,7,15,3,4,TRUE
6,Adonis,3,15,3,5,FALSE
6,Jake,-29,13,1,6,FALSE
6,Ryan,-39,13,1,7,FALSE
6,Phil,-59,14,0,8,FALSE
7,Mike,107,19,3,1,TRUE
7,Chester,101,20,2,2,TRUE
7,Mary,49,17,3,3,TRUE
7,Jenelle,39,17,2,4,TRUE
7,Adonis,17,15,3,5,FALSE
7,Jake,-25,13,2,6,FALSE
7,Phil,-49,14,0,7,FALSE
7,Ryan,-85,11,1,8,FALSE
8,Chester,129,21,2,1,TRUE
8,Mike,85,18,3,2,TRUE
8,Jenelle,65,18,2,3,TRUE
8,Mary,25,16,3,4,TRUE
8,Jake,1,14,2,5,FALSE
8,Adonis,-11,14,3,6,FALSE
8,Ryan,-67,12,1,7,FALSE
8,Phil,-77,13,0,8,FALSE
9,Mike,85,18,3,1,TRUE
9,Chester,83,19,2,2,TRUE
9,Mary,63,18,3,3,TRUE
9,Jenelle,41,18,2,4,TRUE
9,Adonis,17,16,2,5,FALSE
9,Phil,-29,15,0,6,FALSE
9,Ryan,-87,10,1,7,FALSE
9,Jake,-99,10,1,8,FALSE
10,Chester,111,20,2,1,TRUE
10,Jenelle,67,19,2,2,TRUE
10,Mike,63,17,3,3,TRUE
10,Mary,39,17,3,4,TRUE
10,Adonis,-11,15,2,5,FALSE
10,Phil,-57,14,0,6,FALSE
10,Ryan,-69,11,1,7,FALSE
10,Jake,-73,11,1,8,FALSE
11,Mike,113,19,3,1,TRUE
11,Mary,81,19,3,2,TRUE
11,Chester,71,18,2,3,TRUE
11,Jenelle,29,17,2,4,TRUE
11,Adonis,3,15,2,5,FALSE
11,Phil,-47,14,0,6,FALSE
11,Jake,-69,11,2,7,FALSE
11,Ryan,-115,9,1,8,FALSE
12,Chester,99,19,2,1,TRUE
12,Mike,91,18,3,2,TRUE
12,Mary,57,18,3,3,TRUE
12,Jenelle,55,18,2,4,TRUE
12,Adonis,-25,14,2,5,FALSE
12,Jake,-43,12,2,6,FALSE
12,Phil,-75,13,0,7,FALSE
12,Ryan,-97,10,1,8,FALSE
13,Chester,97,20,2,1,TRUE
13,Mike,97,19,3,2,TRUE
13,Mary,51,17,3,3,TRUE
13,Adonis,47,17,3,4,TRUE
13,Jenelle,29,17,2,5,FALSE
13,Phil,-9,16,0,6,FALSE
13,Ryan,-69,11,1,7,FALSE
13,Jake,-83,11,1,8,FALSE
14,Chester,125,21,2,1,TRUE
14,Mike,75,18,3,2,TRUE
14,Jenelle,55,18,2,3,TRUE
14,Mary,27,16,3,4,TRUE
14,Adonis,19,16,3,5,FALSE
14,Phil,-37,15,0,6,FALSE
14,Ryan,-51,12,1,7,FALSE
14,Jake,-57,12,1,8,FALSE
15,Mike,125,20,3,1,TRUE
15,Chester,85,19,2,2,TRUE
15,Mary,69,18,3,3,TRUE
15,Adonis,33,16,3,4,TRUE
15,Jenelle,17,16,2,5,FALSE
15,Phil,-27,15,0,6,FALSE
15,Jake,-53,12,2,7,FALSE
15,Ryan,-97,10,1,8,FALSE
16,Chester,113,20,2,1,TRUE
16,Mike,103,19,3,2,TRUE
16,Mary,45,17,3,3,TRUE
16,Jenelle,43,17,2,4,TRUE
16,Adonis,5,15,3,5,FALSE
16,Jake,-27,13,2,6,FALSE
16,Phil,-55,14,0,7,FALSE
16,Ryan,-79,11,1,8,FALSE
