team,adonis_choice,Adonis,andy_choice,Andy,chester_choice,Chester,jake_choice,Jake,jenelle_choice,Jenelle,mary_choice,Mary,mike_choice,Mike,phil_choice,Phil,ryan_choice,Ryan,expected,prob
Charlotte Hornets,OVER,10,UNDER,6,UNDER,12,OVER,11,UNDER,10,UNDER,12,UNDER,11,UNDER,15,UNDER,14,UNDER,100
Dallas Mavericks,OVER,14,OVER,15,OVER,15,OVER,7,OVER,13,UNDER,6,UNDER,7,OVER,9,OVER,13,UNDER,100
Detroit Pistons,UNDER,8,UNDER,6,OVER,14,UNDER,8,OVER,15,OVER,13,OVER,14,UNDER,8,UNDER,6,UNDER,100
Golden State Warriors,OVER,11,OVER,13,OVER,12,UNDER,7,UNDER,8,OVER,11,OVER,10,OVER,10,OVER,15,UNDER,100
Indiana Pacers,UNDER,9,OVER,7,UNDER,8,OVER,10,UNDER,13,UNDER,10,OVER,6,UNDER,12,OVER,8,OVER,100
Los Angeles Clippers,OVER,12,UNDER,12,OVER,12,UNDER,8,UNDER,6,UNDER,7,OVER,10,UNDER,7,OVER,13,UNDER,100
Minnesota Timberwolves,OVER,8,UNDER,9,OVER,8,UNDER,13,OVER,12,OVER,14,OVER,11,UNDER,13,OVER,10,UNDER,100
New York Knicks,UNDER,15,OVER,10,UNDER,7,OVER,12,OVER,11,OVER,10,OVER,9,OVER,13,UNDER,10,OVER,100
Oklahoma City Thunder,UNDER,15,OVER,11,OVER,9,OVER,11,OVER,7,UNDER,10,UNDER,15,OVER,11,UNDER,14,OVER,100
Orlando Magic,UNDER,9,OVER,8,OVER,14,UNDER,9,OVER,7,OVER,8,UNDER,8,OVER,11,UNDER,8,OVER,100
Phoenix Suns,UNDER,6,OVER,13,UNDER,6,OVER,10,OVER,14,OVER,9,OVER,12,OVER,12,OVER,14,UNDER,100
Sacramento Kings,UNDER,14,OVER,15,UNDER,9,OVER,12,UNDER,9,OVER,8,OVER,14,UNDER,6,OVER,7,OVER,100
Utah Jazz,UNDER,12,UNDER,8,UNDER,13,OVER,15,UNDER,14,OVER,9,UNDER,13,UNDER,8,UNDER,11,OVER,100
Atlanta Hawks,UNDER,6,UNDER,7,OVER,11,OVER,14,UNDER,12,OVER,14,OVER,7,UNDER,10,UNDER,12,UNDER,99
Brooklyn Nets,UNDER,13,UNDER,11,UNDER,7,UNDER,15,OVER,8,OVER,9,OVER,11,UNDER,14,UNDER,6,UNDER,99
Los Angeles Lakers,OVER,7,OVER,9,UNDER,13,UNDER,13,UNDER,10,UNDER,11,UNDER,12,UNDER,13,UNDER,11,UNDER,99
Miami Heat,OVER,15,OVER,8,UNDER,10,OVER,12,UNDER,11,OVER,15,UNDER,8,OVER,6,UNDER,12,UNDER,99
New Orleans Pelicans,OVER,14,UNDER,6,OVER,15,OVER,7,UNDER,10,UNDER,6,OVER,12,OVER,6,OVER,7,UNDER,99
Toronto Raptors,UNDER,8,UNDER,7,OVER,11,UNDER,6,OVER,11,OVER,6,UNDER,9,OVER,14,OVER,10,UNDER,99
Chicago Bulls,OVER,10,OVER,9,OVER,10,OVER,9,UNDER,14,OVER,13,UNDER,14,UNDER,15,OVER,12,UNDER,97
Portland Trail Blazers,UNDER,10,OVER,14,OVER,10,UNDER,13,OVER,9,UNDER,11,UNDER,13,OVER,15,OVER,13,UNDER,80
Cleveland Cavaliers,OVER,13,UNDER,15,OVER,15,UNDER,15,OVER,15,OVER,15,OVER,15,UNDER,7,OVER,11,OVER,75
Denver Nuggets,OVER,7,UNDER,13,OVER,14,OVER,14,OVER,8,OVER,15,OVER,6,UNDER,9,OVER,9,OVER,75
Memphis Grizzlies,OVER,11,UNDER,12,OVER,13,OVER,8,UNDER,12,OVER,12,UNDER,8,OVER,14,UNDER,7,OVER,70
Milwaukee Bucks,OVER,11,OVER,14,OVER,11,OVER,11,OVER,13,OVER,12,OVER,13,OVER,8,OVER,15,OVER,70
Philadelphia 76ers,UNDER,6,OVER,11,UNDER,9,UNDER,10,UNDER,6,UNDER,7,OVER,6,OVER,12,OVER,15,OVER,70
Houston Rockets,UNDER,9,UNDER,10,OVER,8,UNDER,6,UNDER,7,UNDER,14,OVER,10,UNDER,10,OVER,8,UNDER,60
Washington Wizards,UNDER,13,UNDER,10,OVER,6,UNDER,6,UNDER,9,OVER,7,UNDER,9,OVER,11,OVER,6,OVER,60
Boston Celtics,UNDER,7,UNDER,12,UNDER,6,UNDER,9,UNDER,15,UNDER,6,UNDER,15,UNDER,9,UNDER,9,OVER,50
San Antonio Spurs,OVER,12,OVER,14,OVER,7,OVER,14,OVER,6,OVER,8,UNDER,7,OVER,7,UNDER,9,OVER,50
