team,conference,win_projection
Atlanta Hawks,East,41.5
Boston Celtics,East,54.5
Brooklyn Nets,East,38.5
Charlotte Hornets,East,30.5
Chicago Bulls,East,37.5
Cleveland Cavaliers,East,50.5
Detroit Pistons,East,26.5
Indiana Pacers,East,38.5
Miami Heat,East,46.5
Milwaukee Bucks,East,53.5
New York Knicks,East,45.5
Orlando Magic,East,37.5
Philadelphia 76ers,East,47.5
Washington Wizards,East,24.5
Toronto Raptors,East,36.5
Dallas Mavericks,West,43.5
Denver Nuggets,West,52.5
Golden State Warriors,West,47.5
Houston Rockets,West,29.5
Los Angeles Clippers,West,45.5
Los Angeles Lakers,West,46.5
Memphis Grizzlies,West,44.5
Minnesota Timberwolves,West,43.5
New Orleans Pelicans,West,42.5
Oklahoma City Thunder,West,44.5
Phoenix Suns,West,51.5
Portland Trail Blazers,West,23.5
Sacramento Kings,West,46.5
San Antonio Spurs,West,27.5
Utah Jazz,West,36.5
