game_date,away_team,home_team,start_time,is_complete
2023-10-24,Los Angeles Lakers,Denver Nuggets,7:30p,TRUE
2023-10-24,Phoenix Suns,Golden State Warriors,10:00p,TRUE
2023-10-25,Houston Rockets,Orlando Magic,7:00p,TRUE
2023-10-25,Boston Celtics,New York Knicks,7:00p,TRUE
2023-10-25,Washington Wizards,Indiana Pacers,7:00p,TRUE
2023-10-25,Atlanta Hawks,Charlotte Hornets,7:00p,TRUE
2023-10-25,Detroit Pistons,Miami Heat,7:30p,TRUE
2023-10-25,Minnesota Timberwolves,Toronto Raptors,7:30p,TRUE
2023-10-25,Cleveland Cavaliers,Brooklyn Nets,7:30p,TRUE
2023-10-25,New Orleans Pelicans,Memphis Grizzlies,8:00p,TRUE
2023-10-25,Oklahoma City Thunder,Chicago Bulls,8:00p,TRUE
2023-10-25,Sacramento Kings,Utah Jazz,9:00p,TRUE
2023-10-25,Dallas Mavericks,San Antonio Spurs,9:30p,TRUE
2023-10-25,Portland Trail Blazers,Los Angeles Clippers,10:30p,TRUE
2023-10-26,Philadelphia 76ers,Milwaukee Bucks,7:30p,TRUE
2023-10-26,Phoenix Suns,Los Angeles Lakers,10:00p,TRUE
2023-10-27,Denver Nuggets,Memphis Grizzlies,7:00p,TRUE
2023-10-27,Detroit Pistons,Charlotte Hornets,7:00p,TRUE
2023-10-27,New York Knicks,Atlanta Hawks,7:30p,TRUE
2023-10-27,Oklahoma City Thunder,Cleveland Cavaliers,7:30p,TRUE
2023-10-27,Miami Heat,Boston Celtics,7:30p,TRUE
2023-10-27,Toronto Raptors,Chicago Bulls,8:00p,TRUE
2023-10-27,Houston Rockets,San Antonio Spurs,8:00p,TRUE
2023-10-27,Brooklyn Nets,Dallas Mavericks,8:30p,TRUE
2023-10-27,Los Angeles Clippers,Utah Jazz,9:30p,TRUE
2023-10-27,Orlando Magic,Portland Trail Blazers,10:00p,TRUE
2023-10-27,Golden State Warriors,Sacramento Kings,10:00p,TRUE
2023-10-28,Chicago Bulls,Detroit Pistons,7:00p,TRUE
2023-10-28,Memphis Grizzlies,Washington Wizards,7:00p,TRUE
2023-10-28,New York Knicks,New Orleans Pelicans,7:00p,TRUE
2023-10-28,Indiana Pacers,Cleveland Cavaliers,7:30p,TRUE
2023-10-28,Philadelphia 76ers,Toronto Raptors,7:30p,TRUE
2023-10-28,Miami Heat,Minnesota Timberwolves,8:00p,TRUE
2023-10-28,Utah Jazz,Phoenix Suns,10:00p,TRUE
2023-10-29,Denver Nuggets,Oklahoma City Thunder,3:30p,TRUE
2023-10-29,Golden State Warriors,Houston Rockets,7:00p,TRUE
2023-10-29,Atlanta Hawks,Milwaukee Bucks,7:00p,TRUE
2023-10-29,Portland Trail Blazers,Philadelphia 76ers,7:30p,TRUE
2023-10-29,San Antonio Spurs,Los Angeles Clippers,9:00p,TRUE
2023-10-29,Los Angeles Lakers,Sacramento Kings,9:00p,TRUE
2023-10-30,Chicago Bulls,Indiana Pacers,7:00p,TRUE
2023-10-30,Boston Celtics,Washington Wizards,7:00p,TRUE
2023-10-30,Brooklyn Nets,Charlotte Hornets,7:00p,TRUE
2023-10-30,Portland Trail Blazers,Toronto Raptors,7:30p,TRUE
2023-10-30,Minnesota Timberwolves,Atlanta Hawks,7:30p,TRUE
2023-10-30,Dallas Mavericks,Memphis Grizzlies,8:00p,TRUE
2023-10-30,Miami Heat,Milwaukee Bucks,8:00p,TRUE
2023-10-30,Golden State Warriors,New Orleans Pelicans,8:00p,TRUE
2023-10-30,Detroit Pistons,Oklahoma City Thunder,8:00p,TRUE
2023-10-30,Utah Jazz,Denver Nuggets,9:00p,TRUE
2023-10-30,Orlando Magic,Los Angeles Lakers,10:30p,TRUE
2023-10-31,New York Knicks,Cleveland Cavaliers,7:30p,TRUE
2023-10-31,San Antonio Spurs,Phoenix Suns,10:00p,TRUE
2023-10-31,Orlando Magic,Los Angeles Clippers,10:30p,TRUE
2023-11-01,Portland Trail Blazers,Detroit Pistons,7:00p,TRUE
2023-11-01,Milwaukee Bucks,Toronto Raptors,7:00p,TRUE
2023-11-01,Washington Wizards,Atlanta Hawks,7:30p,TRUE
2023-11-01,Indiana Pacers,Boston Celtics,7:30p,TRUE
2023-11-01,Brooklyn Nets,Miami Heat,7:30p,TRUE
2023-11-01,Cleveland Cavaliers,New York Knicks,7:30p,TRUE
2023-11-01,New Orleans Pelicans,Oklahoma City Thunder,7:30p,TRUE
2023-11-01,Charlotte Hornets,Houston Rockets,8:00p,TRUE
2023-11-01,Denver Nuggets,Minnesota Timberwolves,8:00p,TRUE
2023-11-01,Chicago Bulls,Dallas Mavericks,8:30p,TRUE
2023-11-01,Memphis Grizzlies,Utah Jazz,9:00p,TRUE
2023-11-01,Sacramento Kings,Golden State Warriors,10:00p,TRUE
2023-11-01,Los Angeles Clippers,Los Angeles Lakers,10:00p,TRUE
2023-11-02,Toronto Raptors,Philadelphia 76ers,7:00p,TRUE
2023-11-02,Detroit Pistons,New Orleans Pelicans,8:00p,TRUE
2023-11-02,Orlando Magic,Utah Jazz,9:00p,TRUE
2023-11-02,San Antonio Spurs,Phoenix Suns,10:00p,TRUE
2023-11-03,Cleveland Cavaliers,Indiana Pacers,7:00p,TRUE
2023-11-03,New York Knicks,Milwaukee Bucks,7:30p,TRUE
2023-11-03,Brooklyn Nets,Chicago Bulls,8:00p,TRUE
2023-11-03,Washington Wizards,Miami Heat,8:00p,TRUE
2023-11-03,Golden State Warriors,Oklahoma City Thunder,8:00p,TRUE
2023-11-03,Dallas Mavericks,Denver Nuggets,10:00p,TRUE
2023-11-03,Memphis Grizzlies,Portland Trail Blazers,10:00p,TRUE
2023-11-04,Phoenix Suns,Philadelphia 76ers,1:00p,TRUE
2023-11-04,Charlotte Hornets,Indiana Pacers,7:00p,TRUE
2023-11-04,Atlanta Hawks,New Orleans Pelicans,7:00p,TRUE
2023-11-04,Los Angeles Lakers,Orlando Magic,7:00p,TRUE
2023-11-04,Boston Celtics,Brooklyn Nets,8:00p,TRUE
2023-11-04,Sacramento Kings,Houston Rockets,8:00p,TRUE
2023-11-04,Utah Jazz,Minnesota Timberwolves,8:00p,TRUE
2023-11-04,Chicago Bulls,Denver Nuggets,9:00p,TRUE
2023-11-05,Phoenix Suns,Detroit Pistons,3:00p,TRUE
2023-11-05,Toronto Raptors,San Antonio Spurs,3:30p,TRUE
2023-11-05,Golden State Warriors,Cleveland Cavaliers,6:00p,TRUE
2023-11-05,Charlotte Hornets,Dallas Mavericks,7:30p,TRUE
2023-11-05,Memphis Grizzlies,Portland Trail Blazers,9:00p,TRUE
2023-11-06,Golden State Warriors,Detroit Pistons,7:00p,TRUE
2023-11-06,San Antonio Spurs,Indiana Pacers,7:00p,TRUE
2023-11-06,Dallas Mavericks,Orlando Magic,7:00p,TRUE
2023-11-06,Washington Wizards,Philadelphia 76ers,7:00p,TRUE
2023-11-06,Milwaukee Bucks,Brooklyn Nets,7:30p,TRUE
2023-11-06,Los Angeles Lakers,Miami Heat,7:30p,TRUE
2023-11-06,Los Angeles Clippers,New York Knicks,7:30p,TRUE
2023-11-06,Utah Jazz,Chicago Bulls,8:00p,TRUE
2023-11-06,Sacramento Kings,Houston Rockets,8:00p,TRUE
2023-11-06,Boston Celtics,Minnesota Timberwolves,8:00p,TRUE
2023-11-06,Atlanta Hawks,Oklahoma City Thunder,8:00p,TRUE
2023-11-06,New Orleans Pelicans,Denver Nuggets,9:00p,TRUE
2023-11-08,Washington Wizards,Charlotte Hornets,7:00p,TRUE
2023-11-08,Utah Jazz,Indiana Pacers,7:00p,TRUE
2023-11-08,Boston Celtics,Philadelphia 76ers,7:00p,TRUE
2023-11-08,Los Angeles Clippers,Brooklyn Nets,7:30p,TRUE
2023-11-08,San Antonio Spurs,New York Knicks,7:30p,TRUE
