team,conference,division,abbreviation
Atlanta Hawks,East,Southeast,ATL
Boston Celtics,East,Atlantic,BOS
Brooklyn Nets,East,Atlantic,BKN
Charlotte Hornets,East,Southeast,CHA
Chicago Bulls,East,Central,CHI
Cleveland Cavaliers,East,Central,CLE
Detroit Pistons,East,Central,DET
Indiana Pacers,East,Central,IND
Miami Heat,East,Southeast,MIA
Milwaukee Bucks,East,Central,MIL
New York Knicks,East,Atlantic,NYK
Orlando Magic,East,Southeast,ORL
Philadelphia 76ers,East,Atlantic,PHI
Toronto Raptors,East,Atlantic,TOR
Washington Wizards,East,Southeast,WAS
Dallas Mavericks,West,Southwest,DAL
Denver Nuggets,West,Northwest,DEN
Golden State Warriors,West,Pacific,GSW
Houston Rockets,West,Southwest,HOU
Los Angeles Clippers,West,Pacific,LAC
Los Angeles Lakers,West,Pacific,LAL
Memphis Grizzlies,West,Southwest,MEM
Minnesota Timberwolves,West,Northwest,MIN
New Orleans Pelicans,West,Southwest,NOP
Oklahoma City Thunder,West,Northwest,OKC
Phoenix Suns,West,Pacific,PHO
Portland Trail Blazers,West,Northwest,POR
Sacramento Kings,West,Pacific,SAC
San Antonio Spurs,West,Southwest,SAS
Utah Jazz,West,Northwest,UTA
