"draft_order","round","nba_player_taken","position","player"
1,1,"Shai Gilgeous-Alexander, OKC","Guard","Mary"
2,1,"Nikola Jokic, DEN","Post","Jake"
3,1,"Jayson Tatum, BOS","Wing","Steve"
4,1,"Luka Doncic, DAL","Guard","Chester"
5,1,"Tyrese Haliburton, IND","Guard","Ryan"
6,1,"Giannis Antetokounmpo, MIL","Post","Phil"
7,2,"Victor Wembanyama, SAS","Post","Phil"
8,2,"Anthony Edwards, MIN","Wing","Ryan"
9,2,"Jalen Brunson, NYK","Guard","Chester"
10,2,"Jaylen Brown, BOS","Wing","Steve"
11,2,"Joel Embiid, PHI","Post","Jake"
12,2,"Tyrese Maxey, PHI","Guard","Mary"
13,3,"Paolo Banchero, ORL","Post","Mary"
14,3,"Stephen Curry, GSW","Guard","Jake"
15,3,"Karl-Anthony Towns, NYK","Post","Steve"
16,3,"Domantas Sabonis, SAC","Post","Chester"
17,3,"Anthony Davis, LAL","Post","Ryan"
18,3,"LeBron James, LAL","Wing","Phil"
19,4,"Donovan Mitchell, CLE","Guard","Phil"
20,4,"Kevin Durant, PHX","Wing","Ryan"
21,4,"Alperen Sengun, HOU","Post","Chester"
22,4,"Bam Adebayo, MIA","Post","Steve"
23,4,"Ja Morant, MEM","Guard","Jake"
24,4,"Derrick White, BOS","Guard","Mary"
25,5,"Naz Reid, MIN","Post","Mary"
26,5,"Scottie Barnes, TOR","Wing","Jake"
27,5,"Jrue Holiday, BOS","Guard","Steve"
28,5,"Jalen Williams, OKC","Wing","Chester"
29,5,"Trae Young, ATL","Guard","Ryan"
30,5,"Zion Williamson, NOP","Post","Phil"
31,6,"Devin Booker, PHX","Guard","Phil"
32,6,"Chet Holmgren, OKC","Post","Ryan"
33,6,"Lauri Markkanen, UTA","Post","Chester"
34,6,"De’Aaron Fox, SAC","Guard","Steve"
35,6,"Brandon Ingram, NOP","Wing","Jake"
36,6,"Franz Wagner, ORL","Wing","Mary"
37,7,"Donte DiVincenzo, MIN","Guard","Mary"
38,7,"Paul George, PHI","Wing","Jake"
39,7,"Jaden McDaniels, MIN","Wing","Steve"
40,7,"Desmond Bane, MEM","Wing","Chester"
41,7,"Kyrie Irving, DAL","Guard","Ryan"
42,7,"Jimmy Butler, MIA","Wing","Phil"
43,8,"Dejounte Murray, NOP","Guard","Phil"
44,8,"Kawhi Leonard, LAC","Wing","Ryan"
45,8,"Jamal Murray, DEN","Guard","Chester"
46,8,"Mikal Bridges, NYK","Wing","Steve"
47,8,"Pascal Siakam, IND","Post","Jake"
48,8,"Aaron Gordon, DEN","Post","Mary"
49,9,"Michael Porter Jr., DEN","Wing","Mary"
50,9,"Damian Lillard, MIL","Guard","Jake"
51,9,"Jonathan Kuminga, GSW","Post","Steve"
52,9,"Keegan Murray, SAC","Post","Chester"
53,9,"Kristaps Porzingis, BOS","Post","Ryan"
54,9,"Julius Randle, MIN","Post","Phil"
55,10,"Trey Murphy III, NOP","Wing","Phil"
56,10,"LaMelo Ball, CHA","Guard","Ryan"
57,10,"Josh Giddey, CHI","Wing","Chester"
58,10,"CJ McCollum, NOP","Guard","Steve"
59,10,"Darius Garland, CLE","Guard","Jake"
60,10,"Tyler Herro, MIA","Wing","Mary"
