draft_order,round,nba_player_taken,position,player
1,1,"Shai Gilgeous-Alexander, OKC",Guard,Phil
2,1,"Victor Wembanyama, SAS",Post,Steve
3,1,"Nikola Jokic, DEN",Post,Chester
4,1,"Giannis Antetokounmpo, MIL",Post,Jake
5,1,"Luka Doncic, LAL",Guard,Ryan
6,1,"Jalen Williams, OKC",Wing,Mary
7,2,"Chet Holmgren, OKC",Post,Mary
8,2,"Anthony Edwards, MIN",Guard,Ryan
9,2,"Cade Cunningham, DET",Guard,Jake
10,2,"Trae Young, ATL",Guard,Chester
11,2,"Stephen Curry, GSW",Guard,Steve
12,2,"Evan Mobley, CLE",Post,Phil
13,3,"Donovan Mitchell, CLE",Guard,Phil
14,3,"Jaylen Brown, BOS",Wing,Steve
15,3,"Paolo Banchero, ORL",Post,Chester
16,3,"Scottie Barnes, TOR",Wing,Jake
17,3,"Anthony Davis, DAL",Post,Ryan
18,3,"Alperen Sengun, HOU",Post,Mary
19,4,"Jalen Brunson, NYK",Guard,Mary
20,4,"Domantas Sabonis, SAC",Post,Ryan
21,4,"Devin Booker, PHX",Guard,Jake
22,4,"Franz Wagner, ORL",Wing,Chester
23,4,"Derrick White, BOS",Guard,Steve
24,4,"Bam Adebayo, MIA",Post,Phil
25,5,"Desmond Bane, ORL",Guard,Phil
26,5,"Cooper Flagg, DAL",Wing,Steve
27,5,"Amen Thompson, HOU",Wing,Chester
28,5,"Kevin Durant, HOU",Wing,Jake
29,5,"LeBron James, LAL",Wing,Ryan
30,5,"Tyrese Maxey, PHI",Guard,Mary
31,6,"Ja Morant, MEM",Guard,Mary
32,6,"Pascal Siakam, IND",Post,Ryan
33,6,"Karl-Anthony Towns, NYK",Post,Jake
34,6,"De'Aaron Fox, SAS",Guard,Chester
35,6,"Kristaps Porzingis, ATL",Post,Steve
36,6,"Jalen Johnson, ATL",Wing,Phil
37,7,"Kawhi Leonard, LAC",Wing,Phil
38,7,"Brandon Ingram, TOR",Wing,Steve
39,7,"Jalen Suggs, ORL",Guard,Chester
40,7,"Jimmy Butler III, GSW",Wing,Jake
41,7,"Alex Caruso, OKC",Guard,Ryan
42,7,"Aaron Gordon, DEN",Wing,Mary
43,8,"Josh Hart, NYK",Wing,Mary
44,8,"OG Anunoby, NYK",Wing,Ryan
45,8,"Lauri Markkanen, UTA",Wing,Jake
46,8,"Ivica Zubac, LAC",Post,Chester
47,8,"Darius Garland, CLE",Guard,Steve
48,8,"Jaren Jackson Jr., MEM",Post,Phil
49,9,"Christian Braun, DEN",Guard,Phil
50,9,"Tyler Herro, MIA",Guard,Steve
51,9,"Cameron Johnson, DEN",Post,Chester
52,9,"James Harden, LAC",Guard,Jake
53,9,"LaMelo Ball, CHA",Guard,Ryan
54,9,"Dyson Daniels, ATL",Guard,Mary
55,10,"Naz Reid, MIN",Post,Mary
56,10,"Joel Embiid, PHI",Post,Ryan
57,10,"Myles Turner, MIL",Post,Jake
58,10,"Deni Avdija, POR",Wing,Chester
59,10,"Mikal Bridges, NYK",Wing,Steve
60,10,"Brandon Miller, CHA",Wing,Phil
