seed,team_name,conference,wins,losses,source
1,Detroit Pistons,East,59,22,nba.com
2,Boston Celtics,East,55,26,nba.com
3,New York Knicks,East,53,28,nba.com
4,Cleveland Cavaliers,East,51,30,nba.com
5,Atlanta Hawks,East,46,35,nba.com
6,Toronto Raptors,East,45,36,nba.com
7,Orlando Magic,East,45,36,nba.com
8,Philadelphia 76ers,East,44,37,nba.com
9,Charlotte Hornets,East,43,38,nba.com
10,Miami Heat,East,42,39,nba.com
11,Milwaukee Bucks,East,32,49,nba.com
12,Chicago Bulls,East,31,50,nba.com
13,Brooklyn Nets,East,20,61,nba.com
14,Indiana Pacers,East,19,62,nba.com
15,Washington Wizards,East,17,64,nba.com
1,Oklahoma City Thunder,West,64,17,nba.com
2,San Antonio Spurs,West,62,19,nba.com
3,Denver Nuggets,West,53,28,nba.com
4,Los Angeles Lakers,West,52,29,nba.com
5,Houston Rockets,West,51,30,nba.com
6,Minnesota Timberwolves,West,48,33,nba.com
7,Phoenix Suns,West,44,37,nba.com
8,Portland Trail Blazers,West,41,40,nba.com
9,Los Angeles Clippers,West,41,40,nba.com
10,Golden State Warriors,West,37,44,nba.com
11,New Orleans Pelicans,West,26,55,nba.com
12,Memphis Grizzlies,West,25,56,nba.com
13,Dallas Mavericks,West,25,56,nba.com
14,Sacramento Kings,West,22,59,nba.com
15,Utah Jazz,West,22,59,nba.com
