"combo","yellow_wins","real_wins","draws","yellow_pct","real_pct","avg_skill"
"Nov / Nov / Nov",264,2059,2677,5.28,41.18,1
"Nov / Nov / Mid",157,2412,2431,3.14,48.24,1.33333333333333
"Nov / Nov / Opt",164,2450,2386,3.28,49,1.66666666666667
"Nov / Mid / Mid",128,2558,2314,2.56,51.16,1.66666666666667
"Nov / Mid / Opt",144,2519,2337,2.88,50.38,2
"Nov / Opt / Opt",151,2419,2430,3.02,48.38,2.33333333333333
"Mid / Mid / Mid",85,2744,2171,1.7,54.88,2
"Mid / Mid / Opt",121,2661,2218,2.42,53.22,2.33333333333333
"Mid / Opt / Opt",142,2442,2416,2.84,48.84,2.66666666666667
"Opt / Opt / Opt",133,2177,2690,2.66,43.54,3
