latitude,longitude,withinContinent,within1mile,location
27.0967,-73.0348,0,0,Atlantic
47.2095,-107.4434,1,0,Montana
31.0573,-76.2481,0,0,Atlantic
39.7534,-74.5899,1,0,New Jersey
39.2488,-94.6359,1,0,Missouri
41.9141,-98.0918,1,0,Nebraska
43.1496,-80.3571,0,0,Canada
40.9291,-101.9251,1,0,Nebraska
25.0459,-100.5031,0,0,Mexico
43.7988,-115.5254,1,0,Idaho
27.9663,-93.7231,0,0,Atlantic
26.6033,-91.8806,1,0,North Carolina
36.5886,-82.1942,0,0,Atlantic
26.9528,-81.7187,1,0,Florida
28.9306,-82.24,1,0,Florida
34.0599,-109.6026,1,1,Arizona
36.9656,-122.0931,1,0,California
42.8981,-111.3971,1,0,Idaho
31.0676,-70.3504,0,0,Atlantic
31.3584,-90.2335,1,0,Mississippi
28.033,-110.9611,0,0,Mexico
46.5272,-101.1703,1,1,North Dakota
44.8327,-112.4136,1,0,Montana
33.5926,-116.3031,1,0,California
32.6948,-105.5636,1,1,New Mexico
28.3528,-116.8174,0,0,Pacific
29.569,-118.6216,0,0,Pacific
41.2393,-67.1218,0,0,Atlantic
27.6152,-109.3568,0,0,Mexico
31.4442,-106.5096,0,0,Mexico
31.7315,-100.6709,1,0,Texas
37.7206,-112.8622,1,1,Utah
41.1014,-67.462,0,0,Atlantic
29.0524,-67.8154,0,0,Atlantic
30.864,-89.9864,1,1,Louisiana
35.3168,-100.652,1,1,Texas
49.6792,-77.0631,0,0,Canada
46.2853,-117.7702,1,1,Washington
26.8368,-78.4989,0,0,Atlantic
35.9591,-118.652,1,1,California
25.5975,-93.7398,0,0,Atlantic
35.3738,-116.6857,1,0,California
30.4065,-100.0788,1,1,Texas
46.7547,-98.2299,1,1,North Dakota
38.0176,-78.3544,1,1,Virginia
34.5017,-92.157,1,1,Arkansas
26.6727,-69.2751,0,0,Atlantic
40.8512,-91.5804,1,1,Iowa
35.9687,-99.7064,1,1,Oklahoma
39.3426,-105.2077,1,0,Colorado
37.4977,-121.5195,1,1,California
48.8108,-69.6512,0,1,Canada
30.9516,-103.653,1,1,Texas
30.5551,-95.6576,1,1,Texas
30.7907,-88.362,1,1,Alabama
36.0797,-118.1372,1,0,California
32.1987,-108.0063,1,1,New Mexico
30.2513,-117.4144,0,0,Pacific 
43.4889,-111.0107,1,0,Wyoming
48.5421,-73.4154,0,1,Canada
35.5025,-107.9558,1,1,New Mexico
34.5481,-112.183,1,1,Arizona
44.3853,-98.2534,1,1,South Dakota
38.7877,-94.3099,1,1,Missouri
33.6767,-98.1255,1,1,Texas
27.3366,-112.7827,0,1,Mexico
47.5144,-81.2437,0,0, Canada
47.0489,-90.5366,1,0,lake
43.8399,-75.4572,1,1,New York
28.1604,-85.8256,0,0,Atlantic
39.6781,-106.9819,1,1,Colorado
40.9084,-74.9854,1,1,Pennsylvania
35.4021,-99.0509,1,1,Oklahoma
25.6629,-91.3932,0,0,Atlantic
33.8131,-71.2047,0,0,Atlantic
47.8018,-94.4109,1,1,Minnesota
28.4435,-88.3155,0,0,Atlantic
28.9113,-83.1507,0,0,Atlantic
41.6873,111.1576,1,1,Utah
30.6349,-74.4719,0,0,Atlantic
43.0656,-110.7875,0,0,Pacific
28.7224,-121.5459,1,1,New Jersey
41.379,-86.4806,0,0,Atlantic
41.494,-114.1254,1,1,Arizona
35.0847,-109.7513,0,0,Atlantic
29.8692,-92.1323,0,0,Atlantic
27.0195,-87.8046,0,0,Canada
36.2297,-98.4571,0,1,Mexico
44.876,-90.4897,0,0,Canada
37.8609,-118.2875,0,0,Atlantic
40.3374,-87.0836,1,1,Kansas
45.2968,-117.5691,1,0,Nevada
25.8736,-98.6227,0,0,Atlantic
38.5624,-110.4079,1,1,Indiana
38.7835,-105.3514,,0,Atlantic
42.566,-108.3984,0,1,Mexico
46.3389,-122.0343,1,1,Oregon
27.3586,-117.646,0,0,Atlantic
32.3729,-75.1035,1,1,Texas
43.205,-104.4139,0,0,Atlantic
39.2866,-103.9741,1,1,Colorado
37.7882,-85.6022,1,1,Kentucky
44.1373,-121.029,1,1,Oregon
25.0149,-100.7862,0,1,Mexico
27.4381,-89.0641,0,0,Atlantic
43.0373,-79.6461,0,1,Canada
35.7182,-91.6324,1,1,Arkansas
44.749,-84.1391,1,1,Michigan
46.7845,-93.6441,1,1,Minnesota
33.1536,-117.4868,0,0,Pacific
38.9683,-99.8503,1,1,Kansas
36.5266,-114.7202,1,1,Arizona
46.986,-91.809,1,1,Minnesota
31.1793,-120.8334,0,0,Pacific
46.6498,-87.6494,1,1,Wisconsin
44.9416,-92.2091,1,1,Minnesota
26.6235,-99.562,0,1,Mexico
38.4434,-103.0245,1,1,Colorado
29.3267,-80.9742,0,0,Atlantic
32.3843,-121.8139,0,0,Pacific
25.7374,-80.9106,1,0,Florida
36.8463,-87.5407,1,1,Kentucky
42.8698,-100.9891,1,1,Nebraska
28.9663,-120.2157,0,0,Pacific
29.4311,-84.6149,0,0,Atlantic
42.1054,-115.5032,1,0,Idaho
28.2987,-94.3754,0,0,Atlantic
45.4822,-84.3048,1,1,Lake
47.1886,-81.8748,0,1,Canada
32.8734,-90.1169,1,1,Mississippi
48.3556,-72.1085,0,1,Canada
28.3636,-113.0889,0,1,Mexico
31.8592,-94.8957,1,1,Texas
44.9093,-82.3759,1,0,Lake
29.9882,-67.8182,0,0,Atlantic
39.0449,-72.2339,0,0,Atlantic
44.3737,-83.6108,1,1,Michigan
36.7791,-88.1129,1,1,Kentucky
40.6585,-114.0614,1,0,Nevada
38.1564,-120.3885,1,1,California
36.8859,-120.2755,1,1,California
36.8824,-102.9978,1,0,Oklahoma
44.1411,-121.6488,1,1,Oregon
