Condition	Comprehension
After	6
After	5
After	4
After	2
After	1
After	3
After	5
After	3
After	3
After	2
After	2
After	1
After	4
After	4
After	3
After	2
After	5
After	3
After	3
Before	7
Before	5
Before	4
Before	2
Before	6
Before	6
Before	3
Before	6
Before	6
Before	6
Before	5
Before	4
Before	6
Before	5
Before	6
Before	4
Before	3
Before	5
Before	5
None	4
None	6
None	4
None	3
None	3
None	1
None	3
None	5
None	4
None	2
None	5
None	3
None	4
None	2
None	3
None	2
None	4
None	2
None	4
