Weekday,Month,Day,Content,Material Due
Monday,August,29,<a href='https://ismayc.github.io/moderndiver-book/'>Introduction (Chapters 1 and 2)</a>,-
Tuesday,August,30,-,<a href='https://www.surveymonkey.com/r/XSYDHJB'>Pre-test</a>
Wednesday,August,31,<a href='https://ismayc.github.io/rbasics-book/'>RStudio & R Markdown</a>,<a href='https://goo.gl/forms/mckteTIF9it616jR2'>PS1</a>
Monday,September,5,Labor Day (No classes),-
Wednesday,September,7,<a href='https://ismayc.github.io/rbasics-book/'>RStudio & R Markdown</a>,-
Monday,September,12,<a href='https://ismayc.github.io/moderndiver-book/3-tidy.html'>Tidy data (Sections 3.1 and 3.2)</a>,"<a href='https://goo.gl/forms/LSKWcyKQgGYnAEMe2'>PS2</a>, Quiz 1"
Tuesday,September,13,"""",Lab 1 draft due
Wednesday,September,14,<a href='https://ismayc.github.io/moderndiver-book/3-tidy.html#how-is-flights-tidy'>Tidy data II (Sections 3.3 to 3.5)</a>,<a href='https://goo.gl/forms/2TNQcoCtj7WyfJm92'>PS3</a>
Thursday,September,15,"""",Lab 1 final due
Monday,September,19,<a href='https://ismayc.github.io/moderndiver-book/4-viz.html'>Histograms and Boxplots (Sections 4.1 to 4.3)</a>,<a href='https://goo.gl/forms/Zh6gsQMBcqLvNHf42'>PS4</a>
Tuesday,September,20,"""",Lab 2 draft due
Wednesday,September,21,<a href='https://ismayc.github.io/moderndiver-book/4-viz.html#barplots'>Barplots (Section 4.4)</a>,<a href='https://goo.gl/forms/ZEn8SSVtExPEdK7d2'>PS5</a>
Thursday,September,22,"""",Lab 2 final due
Monday,September,26,<a href='https://ismayc.github.io/moderndiver-book/4-viz.html#scatter-plots'>Scatter-plots and Line-graphs (Sections 4.5 and 4.6)</a>,<a href='https://goo.gl/forms/IzILgL5rYA13jwwG3'>PS6</a>
Tuesday,September,27,"""",Lab 3 draft due
Wednesday,September,28,<a href='https://ismayc.github.io/moderndiver-book/4-viz.html#brief-review-of-the-grammar-of-graphics'>Grammar of Graphics (Sections 4.7 and 4.8)</a>,<a href='http://ismayc.github.io/teaching/soc301-f2016/slides/week-05/05a.html#34'>PS7</a>
Thursday,September,29,"""",Lab 3 final due
Monday,October,3,Review for Exam 1,"<a href='https://goo.gl/forms/LSH83PVgzY5yRfdy1'>PS8</a>, Quiz 2"
Tuesday,October,4,"""",-
Wednesday,October,5,Take Home Exam 1 (Chapters 1 - 4),-
Thursday,October,6,"""",-
Monday,October,10,Work on Lab 4 in class,Take Home Exam 1 Due at 2 PM
Wednesday,October,12,<a href='https://ismayc.github.io/moderndiver-book/5-manip.html'>Five Main Verbs & The Pipe (Sections 5.1 and 5.2)</a>,Lab 4 draft due at 4 PM
Friday,October,14,"""",Lab 4 final due at 3 PM
Monday,October,17,<a href='https://ismayc.github.io/moderndiver-book/5-manip.html'>Five Main Verbs & The Pipe (Sections 5.1 and 5.2) (Part 2)</a>,<a href='http://ismayc.github.io/teaching/soc301-f2016/slides/week-07/07b.html#13'>PS9</a>
Wednesday,October,19,<a href='https://ismayc.github.io/moderndiver-book/5-manip.html#the-pipe'>The Pipe and Joins (Sections 5.2 and 5.3)</a>,<a href='http://ismayc.github.io/teaching/soc301-f2016/ps'>PS10</a>
Monday,October,24,Review <a href='https://ismayc.github.io/moderndiver-book/5-manip.html'>Chapter 5</a>,"Quiz 3, <a href='http://ismayc.github.io/teaching/soc301-f2016/ps'>PS11</a>"
Tuesday,October,25,"""",Lab 5 draft due
Wednesday,October,26,Review <a href='https://ismayc.github.io/moderndiver-book/5-manip.html'>Chapter 5</a>,-
Thursday,October,27,"""",Lab 5 final due
Monday,October,31,<a href='https://ismayc.github.io/moderndiver-book/6-infer-basics.html#simulation'>Random sampling and Simulation (Sections 6.1 and 6.2)</a>,-
Tuesday,November,1,"""",Lab 6 draft due
Wednesday,November,2,<a href='https://ismayc.github.io/moderndiver-book/6-infer-basics.html#bootstrapping'>Bootstrapping (Section 6.3)</a>,-
Thursday,November,3,"""",Lab 6 final due
Monday,November,7,Review of Chapter 6,<a href='http://ismayc.github.io/teaching/soc301-f2016/ps'>PS12</a>
Tuesday,November,8,"""",-
Wednesday,November,9,Review for Exam 2 (Chapters 1-6),"Quiz 4, <a href='http://ismayc.github.io/teaching/soc301-f2016/ps'>PS13</a>"
Monday,November,14,Exam 2 in class (Chapters 1-6),-
Wednesday,November,16,<a href='https://ismayc.github.io/moderndiver-book/7-hypo.html'>Hypothesis Testing (Chapter 7)</a>,
Monday,November,21,<a href='https://ismayc.github.io/moderndiver-book/8-ci.html'>Confidence Intervals (Chapter 8)</a>,<a href='http://ismayc.github.io/teaching/soc301-f2016/slides/week-12/final_project_outline.html#project_proposal'>Final Project Proposal</a>
Wednesday,November,23,Thanksgiving Holiday (No Classes),-
Thursday,November,24,Thanksgiving Holiday (No Classes),-
Monday,November,28,<a href='https://ismayc.github.io/moderndiver-book/7-hypo.html'>Tie-ins to Traditional Inference (Chapters 7 and 8)</a>,Feedback Sessions
Tuesday,November,29,"""",
Wednesday,November,30,<a href='https://ismayc.github.io/moderndiver-book/9-regress.html#mlr'>Correlation and Simple Regression (Chapter 9)</a>,Feedback Sessions
Thursday,December,1,Work on Final Project,-
Monday,December,5,<a href='https://ismayc.github.io/moderndiver-book/10-conclusion.html'>Multiple Regression/Course Review (Chapters 9 and 10)</a>,Final Project
Tuesday,December,6,-,Post-test
Wednesday,December,7,READING DAY,-
Tuesday,December,13,Final Exam,8:30 AM to 11:00 AM
