country,region,subRegion,year,lifeExp,pop,gdpPercap,dem_rank,basic_rank
Afghanistan,Asia,Southern Asia,2002.0,42.129,25268405,726.7340548,NA,NA
Albania,Europe,Southern Europe,2002.0,75.651,3508512,4604.211737,Strongly Democratic,Democratic
Austria,Europe,Western Europe,2002.0,78.98,8148312,32417.60769,Strongly Democratic,Democratic
Bahrain,Asia,Western Asia,2002.0,74.795,656397,23403.55927,Strongly Autocratic,Autocratic
Bangladesh,Asia,Southern Asia,2002.0,62.013,135656790,1136.39043,Mildly Democratic,Democratic
Belgium,Europe,Western Europe,2002.0,78.32,10311970,30485.88375,Strongly Democratic,Democratic
Bosnia and Herzegovina,Europe,Southern Europe,2002.0,74.09,4165416,6018.975239,NA,NA
Bulgaria,Europe,Eastern Europe,2002.0,72.14,7661799,7696.777725,Strongly Democratic,Democratic
Cambodia,Asia,South-Eastern Asia,2002.0,56.752,12926707,896.2260153,Middle of the Road,Middle of the Road
China,Asia,Eastern Asia,2002.0,72.028,1280400000,3119.280896,Strongly Autocratic,Autocratic
Croatia,Europe,Southern Europe,2002.0,74.876,4481020,11628.38895,Strongly Democratic,Democratic
Denmark,Europe,Northern Europe,2002.0,77.18,5374693,32166.50006,Strongly Democratic,Democratic
Finland,Europe,Northern Europe,2002.0,78.37,5193039,28204.59057,Strongly Democratic,Democratic
France,Europe,Western Europe,2002.0,79.59,59925035,28926.03234,Strongly Democratic,Democratic
Germany,Europe,Western Europe,2002.0,78.67,82350671,30035.80198,Strongly Democratic,Democratic
Greece,Europe,Southern Europe,2002.0,78.256,10603863,22514.2548,Strongly Democratic,Democratic
"Hong Kong, China",Asia,Eastern Asia,2002.0,81.495,6762476,30209.01516,NA,NA
Hungary,Europe,Eastern Europe,2002.0,72.59,10083313,14843.93556,Strongly Democratic,Democratic
Iceland,Europe,Northern Europe,2002.0,80.5,288030,31163.20196,NA,NA
India,Asia,Southern Asia,2002.0,62.879,1034172547,1746.769454,Strongly Democratic,Democratic
Indonesia,Asia,South-Eastern Asia,2002.0,68.588,211060000,2873.91287,Mildly Democratic,Democratic
Iran,Asia,Southern Asia,2002.0,69.451,66907826,9240.761975,Mildly Democratic,Democratic
Iraq,Asia,Western Asia,2002.0,57.046,24001816,4390.717312,Strongly Autocratic,Autocratic
Ireland,Europe,Northern Europe,2002.0,77.783,3879155,34077.04939,Strongly Democratic,Democratic
Israel,Asia,Western Asia,2002.0,79.696,6029529,21905.59514,Strongly Democratic,Democratic
Italy,Europe,Southern Europe,2002.0,80.24,57926999,27968.09817,Strongly Democratic,Democratic
Japan,Asia,Eastern Asia,2002.0,82.0,127065841,28604.5919,Strongly Democratic,Democratic
Jordan,Asia,Western Asia,2002.0,71.263,5307470,3844.917194,Middle of the Road,Middle of the Road
"Korea, Dem. Rep.",Asia,Eastern Asia,2002.0,66.662,22215365,1646.758151,Strongly Autocratic,Autocratic
"Korea, Rep.",Asia,Eastern Asia,2002.0,77.045,47969150,19233.98818,Strongly Democratic,Democratic
Kuwait,Asia,Western Asia,2002.0,76.904,2111561,35110.10566,Strongly Autocratic,Autocratic
Lebanon,Asia,Western Asia,2002.0,71.028,3677780,9313.93883,Middle of the Road,Middle of the Road
Malaysia,Asia,South-Eastern Asia,2002.0,73.044,22662365,10206.97794,Mildly Democratic,Democratic
Mongolia,Asia,Eastern Asia,2002.0,65.033,2674234,2140.739323,Strongly Democratic,Democratic
Montenegro,Europe,Southern Europe,2002.0,73.981,720230,6557.194282,Strongly Democratic,Democratic
Myanmar,Asia,South-Eastern Asia,2002.0,59.908,45598081,611.0,Strongly Autocratic,Autocratic
Nepal,Asia,Southern Asia,2002.0,61.34,25873917,1057.206311,Mildly Autocratic,Autocratic
Netherlands,Europe,Western Europe,2002.0,78.53,16122830,33724.75778,Strongly Democratic,Democratic
Norway,Europe,Northern Europe,2002.0,79.05,4535591,44683.97525,Strongly Democratic,Democratic
Oman,Asia,Western Asia,2002.0,74.193,2713462,19774.83687,Strongly Autocratic,Autocratic
Pakistan,Asia,Southern Asia,2002.0,63.61,153403524,2092.712441,Mildly Autocratic,Autocratic
Philippines,Asia,South-Eastern Asia,2002.0,70.303,82995088,2650.921068,Strongly Democratic,Democratic
Poland,Europe,Eastern Europe,2002.0,74.67,38625976,12002.23908,Strongly Democratic,Democratic
Portugal,Europe,Southern Europe,2002.0,77.29,10433867,19970.90787,Strongly Democratic,Democratic
Romania,Europe,Eastern Europe,2002.0,71.322,22404337,7885.360081,Strongly Democratic,Democratic
Saudi Arabia,Asia,Western Asia,2002.0,71.626,24501530,19014.54118,Strongly Autocratic,Autocratic
Serbia,Europe,Southern Europe,2002.0,73.213,10111559,7236.075251,Strongly Democratic,Democratic
Singapore,Asia,South-Eastern Asia,2002.0,78.77,4197776,36023.1054,Middle of the Road,Middle of the Road
Slovak Republic,Europe,Eastern Europe,2002.0,73.8,5410052,13638.77837,Strongly Democratic,Democratic
Slovenia,Europe,Southern Europe,2002.0,76.66,2011497,20660.01936,Strongly Democratic,Democratic
Spain,Europe,Southern Europe,2002.0,79.78,40152517,24835.47166,Strongly Democratic,Democratic
Sri Lanka,Asia,Southern Asia,2002.0,70.815,19576783,3015.378833,Mildly Democratic,Democratic
Sweden,Europe,Northern Europe,2002.0,80.04,8954175,29341.63093,Strongly Democratic,Democratic
Switzerland,Europe,Western Europe,2002.0,80.62,7361757,34480.95771,Strongly Democratic,Democratic
Syria,Asia,Western Asia,2002.0,73.053,17155814,4090.925331,Strongly Autocratic,Autocratic
Taiwan,Asia,Eastern Asia,2002.0,76.99,22454239,23235.42329,Strongly Democratic,Democratic
Thailand,Asia,South-Eastern Asia,2002.0,68.564,62806748,5913.187529,Strongly Democratic,Democratic
Turkey,Europe,Western Asia,2002.0,70.845,67308928,6508.085718,Strongly Democratic,Democratic
United Kingdom,Europe,Northern Europe,2002.0,78.471,59912431,29478.99919,Strongly Democratic,Democratic
Vietnam,Asia,South-Eastern Asia,2002.0,73.017,80908147,1764.456677,Strongly Autocratic,Autocratic
West Bank and Gaza,Asia,Western Asia,2002.0,72.37,3389578,4515.487575,NA,NA
"Yemen, Rep.",Asia,Western Asia,2002.0,60.308,18701257,2234.820827,Middle of the Road,Middle of the Road
