country,region,subRegion,year,lifeExp,pop,gdpPercap,dem_rank,basic_rank
Afghanistan,Asia,Southern Asia,1952.0,28.801,8425333,779.4453145,Strongly Autocratic,Autocratic
Afghanistan,Asia,Southern Asia,1957.0,30.332,9240934,820.8530296,Strongly Autocratic,Autocratic
Afghanistan,Asia,Southern Asia,1962.0,31.997,10267083,853.10071,Strongly Autocratic,Autocratic
Afghanistan,Asia,Southern Asia,1967.0,34.02,11537966,836.1971382,Strongly Autocratic,Autocratic
Afghanistan,Asia,Southern Asia,1972.0,36.088,13079460,739.9811058,Strongly Autocratic,Autocratic
Afghanistan,Asia,Southern Asia,1977.0,38.438,14880372,786.11336,Strongly Autocratic,Autocratic
Afghanistan,Asia,Southern Asia,1982.0,39.854,12881816,978.0114388,Strongly Autocratic,Autocratic
Afghanistan,Asia,Southern Asia,1987.0,40.822,13867957,852.3959448,Strongly Autocratic,Autocratic
Afghanistan,Asia,Southern Asia,1992.0,41.674,16317921,649.3413952,Middle of the Road,Middle of the Road
Afghanistan,Asia,Southern Asia,1997.0,41.763,22227415,635.341351,Strongly Autocratic,Autocratic
Afghanistan,Asia,Southern Asia,2002.0,42.129,25268405,726.7340548,NA,NA
Afghanistan,Asia,Southern Asia,2007.0,43.828,31889923,974.5803384,NA,NA
Albania,Europe,Southern Europe,1952.0,55.23,1282697,1601.056136,Strongly Autocratic,Autocratic
Albania,Europe,Southern Europe,1957.0,59.28,1476505,1942.284244,Strongly Autocratic,Autocratic
Albania,Europe,Southern Europe,1962.0,64.82,1728137,2312.888958,Strongly Autocratic,Autocratic
Albania,Europe,Southern Europe,1967.0,66.22,1984060,2760.196931,Strongly Autocratic,Autocratic
Albania,Europe,Southern Europe,1972.0,67.69,2263554,3313.422188,Strongly Autocratic,Autocratic
Albania,Europe,Southern Europe,1977.0,68.93,2509048,3533.00391,Strongly Autocratic,Autocratic
Albania,Europe,Southern Europe,1982.0,70.42,2780097,3630.880722,Strongly Autocratic,Autocratic
Albania,Europe,Southern Europe,1987.0,72.0,3075321,3738.932735,Strongly Autocratic,Autocratic
Albania,Europe,Southern Europe,1992.0,71.581,3326498,2497.437901,Mildly Democratic,Democratic
Albania,Europe,Southern Europe,1997.0,72.95,3428038,3193.054604,Mildly Democratic,Democratic
Albania,Europe,Southern Europe,2002.0,75.651,3508512,4604.211737,Strongly Democratic,Democratic
Albania,Europe,Southern Europe,2007.0,76.423,3600523,5937.029526,Strongly Democratic,Democratic
Algeria,Africa,Northern Africa,1952.0,43.077,9279525,2449.008185,NA,NA
Algeria,Africa,Northern Africa,1957.0,45.685,10270856,3013.976023,NA,NA
Algeria,Africa,Northern Africa,1962.0,48.303,11000948,2550.81688,Strongly Autocratic,Autocratic
Algeria,Africa,Northern Africa,1967.0,51.407,12760499,3246.991771,Strongly Autocratic,Autocratic
Algeria,Africa,Northern Africa,1972.0,54.518,14760787,4182.663766,Strongly Autocratic,Autocratic
Algeria,Africa,Northern Africa,1977.0,58.014,17152804,4910.416756,Strongly Autocratic,Autocratic
Algeria,Africa,Northern Africa,1982.0,61.368,20033753,5745.160213,Strongly Autocratic,Autocratic
Algeria,Africa,Northern Africa,1987.0,65.799,23254956,5681.358539,Strongly Autocratic,Autocratic
Algeria,Africa,Northern Africa,1992.0,67.744,26298373,5023.216647,Strongly Autocratic,Autocratic
Algeria,Africa,Northern Africa,1997.0,69.152,29072015,4797.295051,Mildly Autocratic,Autocratic
Algeria,Africa,Northern Africa,2002.0,70.994,31287142,5288.040382,Mildly Autocratic,Autocratic
Algeria,Africa,Northern Africa,2007.0,72.301,33333216,6223.367465,Middle of the Road,Middle of the Road
Angola,Africa,Middle Africa,1952.0,30.015,4232095,3520.610273,NA,NA
Angola,Africa,Middle Africa,1957.0,31.999,4561361,3827.940465,NA,NA
Angola,Africa,Middle Africa,1962.0,34.0,4826015,4269.276742,NA,NA
Angola,Africa,Middle Africa,1967.0,35.985,5247469,5522.776375,NA,NA
Angola,Africa,Middle Africa,1972.0,37.928,5894858,5473.288005,NA,NA
Angola,Africa,Middle Africa,1977.0,39.483,6162675,3008.647355,Strongly Autocratic,Autocratic
Angola,Africa,Middle Africa,1982.0,39.942,7016384,2756.953672,Strongly Autocratic,Autocratic
Angola,Africa,Middle Africa,1987.0,39.906,7874230,2430.208311,Strongly Autocratic,Autocratic
Angola,Africa,Middle Africa,1992.0,40.647,8735988,2627.845685,Middle of the Road,Middle of the Road
Angola,Africa,Middle Africa,1997.0,40.963,9875024,2277.140884,Mildly Autocratic,Autocratic
Angola,Africa,Middle Africa,2002.0,41.003,10866106,2773.287312,Middle of the Road,Middle of the Road
